"Time","Station","Species","Depth","OM_Percent","C_Percent","Bulk_Density","C_Density","SOC"
2021,13,"B",-1,26.52,13.9,1.33,0.18,1844.54
2021,13,"B",-2,28.55,14.74,0.86,0.13,1272.01
2021,13,"B",-3,31.28,15.87,1.05,0.17,1663.62
2021,13,"C",-1,39.45,19.26,1.11,0.21,2142.23
2021,13,"C",-2,28.48,14.71,0.85,0.13,1250.74
2021,13,"C",-3,25.64,13.53,0.89,0.12,1203.85
2021,14,"R",-1,38.98,19.07,0.72,0.14,1372.72
2021,14,"R",-2,38.93,19.04,0.96,0.18,1826.1
2021,14,"R",-3,54.3,25.43,0.95,0.24,2425.53
2021,14,"B",-1,22.75,12.33,1.37,0.17,1693.97
2021,14,"B",-2,21.87,11.97,1.37,0.16,1642.62
2021,14,"B",-3,45.52,21.78,1.32,0.29,2879.95
2021,14,"C",-1,33.5,16.79,1.24,0.21,2083.71
2021,14,"C",-2,33.81,16.92,1.22,0.21,2062.14
2021,14,"C",-3,31.4,15.92,1.1,0.18,1755.03
2021,15,"R",-1,33.63,16.85,1.35,0.23,2271.42
2021,15,"R",-2,45.88,21.93,1.1,0.24,2409.53
2021,15,"R",-3,53.69,25.17,1.04,0.26,2610.4
2021,15,"B",-1,43.68,21.02,1.27,0.27,2676.6
2021,15,"B",-2,47.86,22.75,1.13,0.26,2563.96
2021,15,"B",-3,69.5,31.73,1,0.32,3165.69
2021,15,"C",-1,35.24,17.51,1.11,0.19,1936.08
2021,15,"C",-2,48.22,22.9,1.19,0.27,2725.53
2021,15,"C",-3,47.11,22.44,1.05,0.24,2359.97
2015,16,"R",-1,14.15,8.76,0.65,0.06,567.72
2015,16,"R",-2,27.88,14.46,0.53,0.08,768.27
2015,16,"R",-3,18.91,10.74,0.56,0.06,597.5
2015,16,"B",-1,24.83,13.19,0.56,0.07,743.16
2015,16,"B",-2,19.92,11.16,0.66,0.07,740.67
2015,16,"B",-3,15.34,9.26,0.61,0.06,565.98
2015,16,"C",-1,22.8,12.35,0.61,0.08,753.72
2015,16,"C",-2,27.62,14.35,0.58,0.08,829.23
2015,16,"C",-3,31.94,16.15,0.46,0.07,735.61
2021,16,"R",-1,16.8,9.86,1.12,0.11,1107.56
2021,16,"R",-2,27.89,14.47,1.09,0.16,1569.86
2021,16,"R",-3,42.02,20.33,1.25,0.25,2539.16
2021,16,"B",-1,31.56,15.99,1.39,0.22,2225.67
2021,16,"B",-2,39.57,19.31,1.29,0.25,2483.19
2021,16,"B",-3,41.37,20.06,1.37,0.28,2755.02
2021,16,"C",-1,37.06,18.27,1.38,0.25,2513.63
2021,16,"C",-2,35.67,17.69,1.3,0.23,2300.26
2021,16,"C",-3,35.55,17.64,1.38,0.24,2439.39
2021,17,"R",-1,35.98,17.82,1.26,0.23,2251.23
2021,17,"R",-2,45.88,21.93,1.1,0.24,2422.39
2021,17,"R",-3,51.86,24.41,0.94,0.23,2306.24
2021,17,"B",-1,36.9,18.21,1.27,0.23,2313.23
2021,17,"B",-2,50.82,23.98,0.89,0.21,2138.87
2021,17,"B",-3,52.46,24.66,0.93,0.23,2284.36
2021,17,"C",-1,41.09,19.94,1.13,0.23,2252.99
2021,17,"C",-2,35.68,17.7,1.16,0.21,2058.7
2021,17,"C",-3,32.97,16.57,1.21,0.2,1999.36
2015,18,"R",-1,16.36,9.68,0.66,0.06,640.76
2015,18,"R",-2,11.63,7.72,0.89,0.07,683.11
2015,18,"R",-3,17.8,10.28,0.66,0.07,675.69
2015,18,"B",-1,20.85,11.54,0.66,0.08,763.05
2015,18,"B",-2,13.27,8.4,0.71,0.06,599.71
2015,18,"B",-3,23.43,12.61,0.65,0.08,823.39
2015,18,"C",-1,18.21,10.45,0.7,0.07,733.33
2015,18,"C",-2,33.27,16.7,0.51,0.08,843.93
2015,18,"C",-3,22.67,12.3,0.54,0.07,663.32
2021,18,"R",-1,10.04,7.05,0.98,0.07,691.02
2021,18,"R",-2,9.15,6.69,0.98,0.07,654.41
2021,18,"R",-3,33.88,16.95,1.22,0.21,2062.78
2021,18,"B",-1,22.26,12.13,3.55,0.43,4310.32
2021,18,"B",-2,25.06,13.29,1.11,0.15,1470.61
2021,18,"B",-3,23.92,12.82,1.24,0.16,1585.71
2021,18,"C",-1,26.43,13.86,1.4,0.19,1938.34
2021,18,"C",-2,24.91,13.23,1.24,0.16,1634.91
2021,18,"C",-3,22.73,12.32,1.09,0.13,1337.83
2021,19,"R",-1,57.88,26.91,1.2,0.32,3229.98
2021,19,"R",-2,25.55,13.49,1.39,0.19,1878.42
2021,19,"R",-3,49.24,23.33,1.14,0.27,2651.31
2021,19,"B",-1,47.51,22.61,1.15,0.26,2598.18
2021,19,"B",-2,54.12,25.35,0.66,0.17,1675.45
2021,19,"B",-3,52.42,24.64,0.45,0.11,1106.75
2021,19,"C",-1,26.01,13.68,1.41,0.19,1935.91
2021,19,"C",-2,43.65,21,0.89,0.19,1873.04
2021,19,"C",-3,54.28,25.42,1.03,0.26,2629.6
2021,20,"R",-1,41.94,20.3,0.72,0.15,1457.67
2021,20,"R",-2,54.27,25.41,0.72,0.18,1831.94
2021,20,"R",-3,70.39,32.1,0.79,0.26,2551.67
2021,20,"B",-1,36.49,18.03,1.14,0.21,2057.51
2021,20,"B",-2,51.82,24.39,0.97,0.24,2373.51
2021,20,"B",-3,52.69,24.76,1.11,0.27,2744.83
